Kp,Ki,Kd,Cost
1.1471,0.0000,0.5757,1000006.0884
1.1471,0.1250,0.6464,1000006.0893
1.1471,0.0000,0.4343,1000006.0905
1.1471,0.0000,0.2929,1000006.0926
1.1471,0.0000,0.1514,1000006.0965
1.1471,0.0000,0.2221,1000006.1016
1.1471,0.2500,0.0807,1000006.1324
1.1471,0.1250,0.0807,1000006.1386
1.1471,0.0000,0.0807,1000006.1444
1.1471,0.5000,0.0100,1000006.1554
1.1471,0.3750,0.0100,1000006.1585
1.1471,0.2500,0.0100,1000006.1612
1.1471,0.1250,0.0100,1000006.1637
1.1471,0.0000,0.0100,1000006.1657
1.0050,0.5000,0.4343,1000006.2226
1.0050,0.5000,0.5757,1000006.2238
1.0050,0.5000,1.0000,1000006.2238
1.0050,0.5000,0.7171,1000006.2241
1.0050,0.5000,0.8586,1000006.2244
1.0050,0.5000,0.2929,1000006.2271
1.0050,0.5000,0.1514,1000006.2298
1.0050,0.3750,0.4343,1000006.2362
1.0050,0.3750,0.5757,1000006.2377
1.0050,0.3750,0.7171,1000006.2381
1.0050,0.3750,1.0000,1000006.2382
1.0050,0.3750,0.8586,1000006.2386
1.0050,0.3750,0.2929,1000006.2391
1.0050,0.3750,0.1514,1000006.2403
1.0050,0.5000,0.2221,1000006.2457
1.0050,0.5000,0.5050,1000006.2459
1.0050,0.5000,0.6464,1000006.2464
1.0050,0.5000,0.9293,1000006.2469
1.0050,0.5000,0.7879,1000006.2469
1.0050,0.2500,0.4343,1000006.2496
1.0050,0.5000,0.3636,1000006.2501
1.0050,0.2500,0.1514,1000006.2506
1.0050,0.2500,0.2929,1000006.2509
1.0050,0.2500,0.5757,1000006.2512
1.0050,0.2500,0.7171,1000006.2518
1.0050,0.2500,1.0000,1000006.2523
1.0050,0.2500,0.8586,1000006.2525
1.0050,0.3750,0.2221,1000006.2572
1.0050,0.3750,0.5050,1000006.2596
1.0050,0.3750,0.6464,1000006.2603
1.0050,0.3750,0.7879,1000006.2610
1.0050,0.3750,0.9293,1000006.2612
1.0050,0.1250,0.1514,1000006.2619
1.0050,0.3750,0.3636,1000006.2622
1.0050,0.1250,0.2929,1000006.2624
1.0050,0.1250,0.4343,1000006.2627
1.0050,0.5000,0.0807,1000006.2641
1.0050,0.1250,0.5757,1000006.2644
1.0050,0.1250,0.7171,1000006.2653
1.0050,0.1250,0.8586,1000006.2661
1.0050,0.1250,1.0000,1000006.2661
1.0050,0.3750,0.0807,1000006.2671
1.0050,0.2500,0.2221,1000006.2684
1.0050,0.2500,0.0807,1000006.2697
1.0050,0.1250,0.0807,1000006.2720
1.0050,0.2500,0.5050,1000006.2730
1.0050,0.0000,0.2929,1000006.2736
1.0050,0.2500,0.6464,1000006.2740
1.0050,0.2500,0.3636,1000006.2741
1.0050,0.2500,0.7879,1000006.2748
1.0050,0.2500,0.9293,1000006.2752
1.0050,0.0000,0.4343,1000006.2756
1.0050,0.0000,0.5757,1000006.2775
1.0050,0.0000,0.7171,1000006.2785
1.0050,0.1250,0.2221,1000006.2792
1.0050,0.0000,0.8586,1000006.2795
1.0050,0.0000,1.0000,1000006.2797
1.0050,0.1250,0.3636,1000006.2858
1.0050,0.1250,0.5050,1000006.2862
1.0050,0.1250,0.6464,1000006.2874
1.0050,0.1250,0.7879,1000006.2884
1.0050,0.1250,0.9293,1000006.2890
1.0050,0.0000,0.2221,1000006.2897
1.0050,0.0000,0.3636,1000006.2971
1.0050,0.0000,0.5050,1000006.2992
1.0050,0.0000,0.6464,1000006.3005
1.0050,0.0000,0.7879,1000006.3017
1.0050,0.0000,0.9293,1000006.3025
1.0050,0.5000,0.0100,1000006.3084
1.0050,0.0000,0.0807,1000006.3084
1.0050,0.0000,0.1514,1000006.3153
1.0050,0.3750,0.0100,1000006.3449
1.0050,0.1250,0.0100,1000006.3695
1.0050,0.2500,0.0100,1000006.3803
1.0050,0.0000,0.0100,1000006.4031
0.8629,0.5000,0.5050,1000006.4051
0.8629,0.5000,0.6464,1000006.4070
0.8629,0.5000,0.3636,1000006.4084
0.8629,0.5000,0.7879,1000006.4088
0.8629,0.5000,0.9293,1000006.4102
0.8629,0.3750,0.7879,1000006.4194
0.8629,0.3750,0.9293,1000006.4210
0.8629,0.5000,0.2929,1000006.4232
0.8629,0.5000,0.4343,1000006.4264
